time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0637849,0,0,0,48,16
0.0872029,0,0,0,32,32
0.110621,0,0,0,16,48
0.167264,0,0,0,0,64
0.836182,0,0,0,16,48
0.857659,0,0,0,12,52
0.865465,0,0,0,8,56
0.935802,0,0,0,12,52
1.08406,0,0,0,8,56
1.18044,0,0,0,4,60
1.19753,0,0,0,20,44
1.21901,0,0,0,4,60
1.27676,0,0,0,0,64
1.31196,0,0,0,4,60
1.34465,0,0,0,20,44
1.36612,0,0,0,4,60
1.46467,0,0,0,0,64
1.59762,0,0,0,4,60
1.61908,0,0,0,0,64
2.0363,0,0,0,4,60
2.05777,0,0,0,0,64
2.12041,0,0,0,16,48
2.14188,0,0,0,0,64
2.16706,0,0,0,4,60
2.20238,0,0,0,0,64
2.38325,0,0,0,16,48
2.40471,0,0,0,0,64
2.56328,0,0,0,4,60
2.58475,0,0,0,0,64
2.69402,0,0,0,4,60
2.72329,0,0,0,0,64
2.8015,0,0,0,4,60
2.82296,0,0,0,0,64
3.30098,0,0,0,4,60
3.32245,0,0,0,0,64
3.38376,0,0,0,16,48
3.41298,0,0,0,0,64
3.46984,0,0,0,4,60
3.49131,0,0,0,0,64
3.51518,0,0,0,16,48
3.53666,0,0,0,0,64
3.6006,0,0,0,4,60
3.62208,0,0,0,0,64
3.62346,0,0,0,16,48
3.65135,0,0,0,0,64
3.66234,0,0,0,16,48
3.66249,0,0,0,20,44
3.69746,0,0,0,4,60
3.72088,0,0,0,0,64
3.92144,0,0,0,4,60
3.94292,0,0,0,0,64
4.05219,0,0,0,4,60
4.07367,0,0,0,0,64
4.13797,0,0,0,4,60
4.15944,0,0,0,0,64
4.38145,0,0,0,4,60
4.40293,0,0,0,0,64
4.49081,0,0,0,4,60
4.51228,0,0,0,0,64
4.60589,0,0,0,4,60
4.62158,0,0,0,8,56
4.62736,0,0,0,4,60
4.65663,0,0,0,0,64
5.07379,0,0,0,4,60
5.09525,0,0,0,0,64
5.50147,0,0,0,4,60
5.52293,0,0,0,0,64
5.5907,0,0,0,16,48
5.61217,0,0,0,0,64
5.70797,0,0,0,4,60
5.71485,0,0,0,20,44
5.72589,0,0,0,24,40
5.7431,0,0,0,20,44
5.77238,0,0,0,4,60
5.78019,0,0,0,0,64
5.85044,0,0,0,4,60
5.85236,0,0,0,8,56
5.89338,0,0,0,4,60
5.909,0,0,0,0,64
6.35544,0,0,0,4,60
6.38471,0,0,0,0,64
6.64664,0,0,0,4,60
6.66812,0,0,0,0,64
6.66973,0,0,0,16,48
6.69738,0,0,0,0,64
6.80186,0,0,0,4,60
6.82332,0,0,0,0,64
6.97241,0,0,0,16,48
6.99389,0,0,0,0,64
7.54727,0,0,0,16,48
7.56874,0,0,0,0,64
7.71942,0,0,0,16,48
7.7409,0,0,0,0,64
7.76671,0,0,0,4,60
7.78819,0,0,0,0,64
7.8101,0,0,0,16,48
7.83156,0,0,0,0,64
7.89746,0,0,0,4,60
7.90851,0,0,0,8,56
7.93258,0,0,0,4,60
7.9482,0,0,0,0,64
7.98227,0,0,0,16,48
8.02431,0,0,0,0,64
8.04187,0,0,0,4,60
8.06334,0,0,0,0,64
8.1658,0,0,0,4,60
8.18726,0,0,0,0,64
8.29654,0,0,0,4,60
8.31801,0,0,0,0,64
8.39621,0,0,0,4,60
8.41768,0,0,0,0,64
8.48059,0,0,0,4,60
8.49588,0,0,0,8,56
8.50986,0,0,0,4,60
8.53913,0,0,0,0,64
8.61915,0,0,0,4,60
